id	word1	word2	headline
en_2001	-	-	Panamanian lawmakers’ Taiwan trip sparks diplomatic row with China
en_2002	-	-	Carra: Liverpool must sign in January - even after summer spending spree
en_2003	-	-	Experts warn of health threat posed by ultra-processed foods
en_2004	-	-	Dick Cheney funeral: George W. Bush delivers eulogy
en_2005	-	-	No place for Mostert distraction in South Africa team
en_2006	-	-	Meet Troy - the parrot named after Ireland’s hat-trick hero
en_2007	-	-	Instagram to start closing Australian teen accounts ahead of social media ban
en_2008	-	-	How the EU botched its attempt to regulate AI
en_2009	-	-	I stayed at one of only two hotels in Malta’s Silent City
en_2010	-	-	Ireland coach Farrell brings back Bundee Aki for clash with Springboks in Dublin
en_2011	-	-	Is it okay if I don’t love my partner all the time?
en_2012	-	-	Why footballer Troy Parrott is taking the classic Hero's Journey
en_2013	-	-	Gen Z are flocking to these unconventional jobs in order to earn big - and it's working
en_2014	-	-	‘Kim Kardashian had no pretensions that she was a great actress’: Glenn Close hits back at zero-star All’s Fair reviews
en_2015	-	-	Fiber is something most people could use more of. But experts advise caution with ‘fibermaxxing’
en_2016	-	-	Host Brazil pushes for progress on big issues at COP30 and some see cause for optimism
en_2017	-	-	Oneohtrix Point Never: Tranquilizer review – uncanny ambient music for an agitated era
en_2018	-	-	Advice from Whitty and Vallance on delaying lockdown 'had no grounding in science'
en_2019	-	-	Gaelic games in action at Asian Youth Championing in Hanoi, Vietnam
en_2020	-	-	I made mistakes on TV, he made his on a field'
en_2021	-	-	‘Mind-blowing’ population of feral goldfish in Ottawa pond to be euthanized
en_2022	-	-	I do get jealous and question whether I’m cut out for non-monogamy
en_2023	-	-	How Guinness World Records began 7 decades ago
en_2024	-	-	‘Too little, too late’: damning report condemns UK’s Covid response
en_2025	-	-	Thousands of people 'trapped' on M7 every day, Dáil hears
en_2026	-	-	Prada heir Lorenzo Bertelli will have strategic role at Versace as executive chairman
en_2027	-	-	Miriam Toews: A loud voice in a town once ruled by silence
en_2028	-	-	‘My husband collects pictures of old men’s faces to give me’: Keira Knightley on art, ghosts and West Ham’s midfield
en_2029	-	-	Ninja dual zone air fryer is at its lowest price for Black Friday 2025
en_2030	-	-	You're a disgrace': Dramatic scene as House avoids Rep. Cory Mills censure vote
en_2031	-	-	The most important questions to ask when picking a health care plan
en_2032	-	-	Why nonalcoholic spirits go from strength to strength
en_2033	-	-	Don’t trade where you tweet
en_2034	-	-	Three-quarters of parents let children miss school for ‘duvet day’
en_2035	-	-	Nasa releases new images of interstellar comet 3I/ATLAS
en_2036	-	-	The Thing With Feathers review – well-intentioned adaptation of Max Porter novella about grief
en_2037	-	-	Polar vortex could bring wild weather pattern
en_2038	-	-	Is AI being shoved down your throat at work? Here’s how to fight back.
en_2039	-	-	Alice Zaslavsky’s recipe for garlic red peppers with a creamy white bean dip, AKA papula
en_2040	-	-	I’ve been writing about housing for more than a decade, and I grew up and live in California. So I’ve seen how the state has struggled with its severe housing shortage.
en_2041	-	-	David Muir reports on students who learned to sign for deaf therapy dog's birthday
en_2042	-	-	SA Reserve Bank cuts repo rate to 6.75 percent - what this means for your bond
en_2043	-	-	SpaceX launches second satellite to monitor sea level changes
en_2044	-	-	‘Thundersnow’ to hit UK as cold snap closes schools
en_2045	-	-	Giant spider web found in Greek-Albanian border cave
en_2046	-	-	What is life like living permanently on board a cruise ship?
en_2047	-	-	Black Friday deals for him that will make the perfect present
en_2048	-	-	Group words that share a common thread.
en_2049	-	-	Klamath: America's largest river restoration project
en_2050	-	-	House passes bill to strip Senate phone investigations language from funding bill
en_2051	-	-	We did it!': Countries celebrate World Cup qualification
en_2052	-	-	Princess of Wales says her children were 'very sad' to miss Paddington at Royal Variety show
en_2053	-	-	NASA unveils close-up pictures of interstellar comet 3I/Atlas
en_2054	-	-	This painting is the most expensive work of modern art ever sold at auction
en_2055	-	-	Doing these fall garden chores will make your spring easier
en_2056	-	-	Owl rescued from concrete mixer now recovering in Utah
en_2057	-	-	What Mamdani's win means for NYC's food scene
