id	word1	word2	headline
es_2001	-	-	Los compromisos climáticos de Colombia son ambiciosos, pero sus acciones no le alcanzan
es_2002	-	-	Xolos buscará que su localía pese ante Bravos de Juárez Con Gilberto Mora como su talismán, los de Tijuana quieren asegurar un sitio en la Fiesta Grande, a costa de Bravos
es_2003	-	-	“Vamos a tratar de armar una fiesta de la decepción”: Ricardo Arjona reacciona al resultado del Guatemala vs. Panamá en pleno concierto
es_2004	-	-	Multan a un camionero que hizo un peligroso sobrepaso en la Ruta Nacional 5
es_2005	-	-	Cómo es el nuevo accesorio del iPhone firmado por el diseñador de la icónica polera de Steve Jobs
es_2006	-	-	OpenAI lanza GPT-5.1 Pro con mejoras en claridad, estructura y relevancia
es_2007	-	-	El océano como última defensa climática: por qué el futuro del planeta se juega en la COP30 de Belém
es_2008	-	-	Corte Suprema de Justicia reserva la información sobre plazas suprimidas
es_2009	-	-	Bancamiga apoya el desarrollo empresarial en el estado Bolívar con el foro “Claves para transformar e impulsar tu negocio”
es_2010	-	-	La embajadora de Estados Unidos presentó sus cartas credenciales
es_2011	-	-	Green, presidente la empresa detrás de ‘Candy Crush’: “El éxito es que los jugadores quieran jugar durante años”
es_2012	-	-	El Salvador, refugio clave para la tortuga carey
es_2013	-	-	Los documentos de la adquisición de los cazas están bajo cláusula de reserva.
es_2014	-	-	Cae “L-12”, objetivo prioritario con tres órdenes de aprehensión; detienen a 14 personas más en Sinaloa 07:24 También capturaron a 14 personas en Navolato, asegurando 13 armas largas y una  ametralladora
es_2015	-	-	América Latina, la tierra del agua desafiada por la sed: ¿qué hay detrás de las crisis hídricas en 11 países?
es_2016	-	-	La CE pide que los trabajadores accedan a planes de pensiones en las empresas de forma automática
es_2017	-	-	Por qué China quiere que sus jóvenes gasten más dinero pero ellos se resisten
es_2018	-	-	Proyectan una producción récord de trigo: 24,5 millones de toneladas
es_2019	-	-	DNI Bullrich Version: la curiosa promoción que hizo la ministra de la edición limitada de “su” documento
es_2020	-	-	Se viene el mejor fin de semana deportivo del año: Messi, Los Pumas, Copa Davis, F1, Pumita Martínez, el Clausura y más
es_2021	-	-	La condena al fiscal general: la fuerza de los hechos
es_2022	-	-	El chef de restaurante Michelin que sirvió más de 6500 bifes de chorizo en un megaevento
es_2023	-	-	Polémica por un cambio en la forma de pago del trigo aplicada por los exportadores
